dataset,alpha,seed,fold,accuracy,macro_f1,auc,set_redundancy,weighted_redundancy
Ionosphere,1.0,42,0,0.8873239436619719,0.8786324786324786,0.9320512820512821,0.15650993839461075,0.15333980707971806
Ionosphere,0.0,42,1,0.9285714285714286,0.9215070643642072,0.9079999999999998,0.15914593900827465,0.1612674781438672
Ionosphere,0.2,42,1,0.9285714285714286,0.9215070643642072,0.9079999999999998,0.15893884775119535,0.14236607216318883
Ionosphere,0.4,42,1,0.9,0.8878975062914665,0.8973333333333333,0.16032367601012473,0.12647909626069542
Ionosphere,0.6,42,1,0.9,0.8878975062914665,0.9133333333333332,0.1518621794407952,0.12527798869356463
Ionosphere,0.8,42,1,0.9,0.8878975062914665,0.9133333333333332,0.1518621794407952,0.12527798869356463
Ionosphere,1.0,42,1,0.9,0.8878975062914665,0.9133333333333332,0.1518621794407952,0.12527798869356463
Ionosphere,0.0,42,2,0.8857142857142857,0.8731884057971014,0.8755555555555555,0.21881490447256632,0.24704243710294674
Ionosphere,0.2,42,2,0.8857142857142857,0.8731884057971014,0.8937777777777777,0.2004779743877375,0.24594550791124262
Ionosphere,0.4,42,2,0.8857142857142857,0.8731884057971014,0.8937777777777777,0.2004779743877375,0.24594550791124262
Ionosphere,0.6,42,2,0.8571428571428571,0.8414855072463767,0.8524444444444443,0.18377685667579047,0.18085097858035126
Ionosphere,0.8,42,2,0.8714285714285714,0.8526315789473684,0.8888888888888888,0.1532725480622689,0.19354702555157888
Ionosphere,1.0,42,2,0.8714285714285714,0.8526315789473684,0.8537777777777777,0.20002479365726433,0.22023669169856153
Ionosphere,0.0,42,3,0.9,0.8901098901098901,0.9106666666666667,0.17053276398572556,0.15423496221191804
Ionosphere,0.2,42,3,0.9142857142857143,0.9082167832167831,0.9457777777777778,0.14292857053907887,0.14572675054866288
Ionosphere,0.4,42,3,0.9,0.8901098901098901,0.9475555555555555,0.128949421075814,0.14533423758454975
Ionosphere,0.6,42,3,0.9,0.8901098901098901,0.9475555555555555,0.128949421075814,0.14533423758454975
Ionosphere,0.8,42,3,0.9285714285714286,0.9228905045164133,0.9359999999999999,0.1279713324034053,0.13337511434569246
Ionosphere,1.0,42,3,0.9142857142857143,0.9066666666666667,0.9137777777777778,0.1279713324034053,0.13312511882672984
Ionosphere,0.0,42,4,0.8571428571428571,0.8470279720279721,0.891111111111111,0.1659994583769335,0.17880549358034437
Ionosphere,0.2,42,4,0.8571428571428571,0.8470279720279721,0.8719999999999999,0.1787201746037037,0.17285874940848664
Ionosphere,0.4,42,4,0.8571428571428571,0.8470279720279721,0.8648888888888888,0.17354778560632825,0.1595082624141579
Ionosphere,0.6,42,4,0.8571428571428571,0.8470279720279721,0.8648888888888888,0.17354778560632825,0.1595082624141579
Ionosphere,0.8,42,4,0.8571428571428571,0.8470279720279721,0.8648888888888888,0.17354778560632825,0.1595082624141579
Ionosphere,1.0,42,4,0.8571428571428571,0.8470279720279721,0.8648888888888888,0.17354778560632825,0.1595082624141579
Ionosphere,0.0,43,0,0.8732394366197183,0.8623141564318035,0.8965811965811965,0.1241421770863946,0.15543360662691919
Ionosphere,0.2,43,0,0.8732394366197183,0.8623141564318035,0.8965811965811965,0.1241421770863946,0.15543360662691919
Ionosphere,0.4,43,0,0.8732394366197183,0.8623141564318035,0.8965811965811965,0.1241421770863946,0.15543360662691919
Ionosphere,0.6,43,0,0.8591549295774648,0.8505892255892256,0.9141025641025642,0.15283901369541822,0.16782374120111979
Ionosphere,0.8,43,0,0.8591549295774648,0.8505892255892256,0.9303418803418804,0.15428718843729175,0.16974527030592015
Ionosphere,1.0,43,0,0.8591549295774648,0.8505892255892256,0.9273504273504274,0.14448829568075922,0.1527627755856782
Ionosphere,0.0,43,1,0.9,0.8853801169590643,0.9084444444444443,0.17287483662404907,0.1454765808892212
Ionosphere,0.2,43,1,0.9428571428571428,0.9352451433857539,0.9497777777777777,0.14565909290605467,0.1357375601266104
